t,x,y,z
0.001,0.20600000000000002,0.0,0.30089019
0.002,0.2119956499224322,0.0,0.30177188686411427
0.003,0.21798695914562766,0.0,0.302645095500772
0.004,0.2239739370212649,0.0,0.3035098208056182
0.005,0.22995659287444792,0.0,0.30436606766158103
0.006,0.23593493600378404,0.0,0.3052138409389388
0.007,0.24190897568146133,0.0,0.30605314549538715
0.008,0.2478787211533258,0.0,0.3068839861761058
0.009000000000000001,0.2538441816389582,0.0,0.30770636781382515
0.01,0.25980536633175066,0.0,0.3085202952288927
0.011000000000000001,0.2657622843989827,0.0,0.3093257732293394
0.012,0.27171494498189736,0.0,0.3101228066109459
0.013000000000000001,0.27766335719577667,0.0,0.31091140015730817
0.014,0.283607530130017,0.0,0.31169155863990367
0.015000000000000001,0.2895474728482041,0.0,0.3124632868181566
0.016,0.2954831943881876,0.0,0.3132265894395036
0.017,0.30141470376215573,0.0,0.3139814712394589
0.018000000000000002,0.3073420099567092,0.0,0.31472793694167955
0.019,0.313265121932935,0.0,0.31546599125803026
0.02,0.3191840486264799,0.0,0.31619563888864816
0.021,0.325098798947624,0.0,0.3169168845220075
0.022000000000000002,0.33100938178135314,0.0,0.31762973283498414
0.023000000000000003,0.3369158059874319,0.0,0.31833418849291967
0.024,0.34281808040047596,0.0,0.3190302561496858
0.025,0.34871621383002394,0.0,0.319717940447748
0.026000000000000002,0.3546102150606094,0.0,0.32039724601822966
0.027000000000000003,0.3605000928518323,0.0,0.3210681774809755
0.028,0.36638585593843026,0.0,0.3217307394446151
0.029,0.3722675130303494,0.0,0.3223849365066264
0.030000000000000002,0.3781450728128151,0.0,0.32303077325339863
0.031000000000000003,0.3840185439464026,0.0,0.3236682542602955
0.032,0.38988793506710673,0.0,0.324297384091718
0.033,0.3957532547864121,0.0,0.32491816730116707
0.034,0.40161451169136264,0.0,0.32553060843130627
0.035,0.4074717143446308,0.0,0.3261347120140241
0.036000000000000004,0.41332487128458684,0.0,0.3267304825704963
0.037000000000000005,0.4191739910253674,0.0,0.3273179246112478
0.038,0.42501908205694416,0.0,0.3278970426362149
0.039,0.4308601528451922,0.0,0.3284678411348067
0.04,0.43669721183195787,0.0,0.3290303245859672
0.041,0.44253026743512663,0.0,0.32958449745823637
0.042,0.4483593280486906,0.0,0.33013036420981173
0.043000000000000003,0.4541844020428158,0.0,0.33066792928860944
0.044000000000000004,0.46000549776390914,0.0,0.3311971971323254
0.045000000000000005,0.4658226235346852,0.0,0.3317181721684961
0.046000000000000006,0.47163578765423264,0.0,0.33223085881455927
0.047,0.4774449983980807,0.0,0.33273526147791466
0.048,0.483250264018265,0.0,0.3332313845559844
0.049,0.48905159274339344,0.0,0.3337192324362732
0.05,0.49484899277871164,0.0,0.3341988094964287
0.051000000000000004,0.5006424723061683,0.0,0.33467012010430136
0.052000000000000005,0.5064320394844802,0.0,0.33513316861800424
0.053000000000000005,0.5122177024491973,0.0,0.33558795938597297
0.054000000000000006,0.5179994693127666,0.0,0.3360344967470251
0.055,0.5237773481645975,0.0,0.3364727850304197
0.056,0.5295513470711252,0.0,0.33690282855591647
0.057,0.5353214740758745,0.0,0.33732463163383497
0.058,0.541087737199524,0.0,0.33773819856511367
0.059000000000000004,0.5468501444399693,0.0,0.33814353364136884
0.060000000000000005,0.5526087037723859,0.0,0.3385406411449532
0.061000000000000006,0.5583634231492928,0.0,0.33892952534901444
0.062000000000000006,0.5641143105006144,0.0,0.3393101905175538
0.063,0.569861373733744,0.0,0.33968264090548433
0.064,0.5756046207336052,0.0,0.34004688075868905
0.065,0.5813440593627147,0.0,0.34040291431407893
0.066,0.5870796974612437,0.0,0.34075074579965076
0.067,0.5928115428470798,0.0,0.34109037943454507
0.068,0.5985396033158884,0.0,0.3414218194291035
0.069,0.6042638866411738,0.0,0.34174506998492643
0.07,0.6099844005743403,0.0,0.34206013529493035
0.07100000000000001,0.6157011528447532,0.0,0.34236701954340487
0.07200000000000001,0.621414151159799,0.0,0.3426657269060699
0.07300000000000001,0.627123403204946,0.0,0.34295626155013265
0.07400000000000001,0.6328289166438045,0.0,0.34323862763434426
0.07500000000000001,0.6385306991181868,0.0,0.3435128293090566
0.076,0.6442287582481668,0.0,0.3437788707162786
0.077,0.6499231016321398,0.0,0.34403675598973293
0.078,0.6556137368468816,0.0,0.34428648925491195
0.079,0.6613006714476078,0.0,0.344528074629134
0.08,0.6669839129680329,0.0,0.34476151622159934
0.081,0.6726634689204287,0.0,0.344986818133446
0.082,0.6783393467956833,0.0,0.3452039844578055
0.083,0.6840115540633592,0.0,0.3454130192798583
0.084,0.6896800981717517,0.0,0.34561392667688956
0.085,0.6953449865479465,0.0,0.34580671071834423
0.08600000000000001,0.7010062265978779,0.0,0.3459913754658822
0.08700000000000001,0.7066638257063863,0.0,0.34616792497343346
0.08800000000000001,0.7123177912372755,0.0,0.34633636328725304
0.08900000000000001,0.71796813053337,0.0,0.3464966944459757
0.09000000000000001,0.7236148509165723,0.0,0.34664892248067064
0.09100000000000001,0.7292579596879192,0.0,0.34679305141489614
0.09200000000000001,0.7348974641276391,0.0,0.3469290852647537
0.093,0.7405333714952081,0.0,0.34705702803894256
0.094,0.7461656890294065,0.0,0.3471768837388137
0.095,0.7517944239483747,0.0,0.347288656358424
0.096,0.7574195834496695,0.0,0.3473923498845898
0.097,0.7630411747103197,0.0,0.34748796829694095
0.098,0.7686592048868817,0.0,0.34757551556797434
0.099,0.7742736811154948,0.0,0.3476549956631074
0.1,0.7798846105119369,0.0,0.34772641254073144
0.101,0.7854920001716792,0.0,0.34778977015226475
0.10200000000000001,0.791095857169941,0.0,0.347845072442206
0.10300000000000001,0.796696188561745,0.0,0.34789232334818704
0.10400000000000001,0.8022930013819711,0.0,0.3479315268010256
0.10500000000000001,0.8078863026454117,0.0,0.34796268672477837
0.10600000000000001,0.8134760993468252,0.0,0.34798580703679316
0.10700000000000001,0.8190623984609903,0.0,0.34800089164776177
0.10800000000000001,0.8246452069427599,0.0,0.3480079444617721
0.10900000000000001,0.8302245317271152,0.0,0.3480069693763603
0.11,0.8358003797292187,0.0,0.347997970282563
0.111,0.8413727578444681,0.0,0.34798095106496935
0.112,0.846941672948549,0.0,0.34795591560177247
0.113,0.8525071318974888,0.0,0.3479228677648215
0.114,0.8580691415277089,0.0,0.347881811419673
0.115,0.8636277086560776,0.0,0.3478327504256425
0.116,0.8691828400799635,0.0,0.34777568863585573
0.117,0.8747345425772869,0.0,0.34771062989729984
0.11800000000000001,0.8802828229065727,0.0,0.3476375780508745
0.11900000000000001,0.8858276878070025,0.0,0.3475565369314426
0.12000000000000001,0.8913691439984666,0.0,0.3474675103678816
0.12100000000000001,0.8969071981816157,0.0,0.34737050218313364
0.12200000000000001,0.902441857037913,0.0,0.3472655161942564
0.12300000000000001,0.9079731272296854,0.0,0.3471525562124734
0.12400000000000001,0.9135010154001749,0.0,0.34703162604322435
0.125,0.9190255281735903,0.0,0.34690272948621553
0.126,0.9245466721551576,0.0,0.34676587033546946
0.127,0.9300644539311719,0.0,0.3466210523793752
0.128,0.9355788800690473,0.0,0.34646827940073777
0.129,0.9410899571173683,0.0,0.3463075551768282
0.13,0.94659769160594,0.0,0.34613888347943284
0.131,0.9521020900458386,0.0,0.3459622680749029
0.132,0.9576031589294616,0.0,0.3457777127242036
0.133,0.963100904730578,0.0,0.34558522118296353
0.134,0.9685953339043784,0.0,0.34538479720152365
0.135,0.9740864528875245,0.0,0.3451764445249861
0.136,0.9795742680981991,0.0,0.34496016689326303
0.137,0.9850587859361558,0.0,0.3447359680411254
0.138,0.990540012782768,0.0,0.3445038516982514
0.139,0.9960179550010787,0.0,0.34426382158927477
0.14,1.0014926189358493,0.0,0.3440158814338334
0.14100000000000001,1.0069640109136089,0.0,0.34376003494661717
0.14200000000000002,1.012432137242703,0.0,0.34349628583741626
0.14300000000000002,1.0178970042133424,0.0,0.3432246378111688
0.14400000000000002,1.023358618097652,0.0,0.34294509456800887
0.14500000000000002,1.0288169851497189,0.0,0.3426576598033141
0.14600000000000002,1.0342721116056413,0.0,0.34236233720775305
0.14700000000000002,1.0397240036835764,0.0,0.34205913046733294
0.14800000000000002,1.0451726675837891,0.0,0.3417480432634467
0.14900000000000002,1.050618109488699,0.0,0.34142907927292016
0.15000000000000002,1.0560603355629292,0.0,0.34110224216805907
0.15100000000000002,1.061499351953354,0.0,0.34076753561669615
0.152,1.0669351647891459,0.0,0.3404249632822377
0.153,1.0723677801818237,0.0,0.34007452882371036
0.154,1.0777972042252997,0.0,0.3397162358958075
0.155,1.0832234429959273,0.0,0.3393500881489359
0.156,1.0886465025525478,0.0,0.3389760892292617
0.157,1.0940663889365374,0.0,0.3385942427787567
0.158,1.0994831081718544,0.0,0.3382045524352445
0.159,1.1048966662650856,0.0,0.33780702183244615
0.16,1.110307069205494,0.0,0.33740165460002614
0.161,1.1157143229650637,0.0,0.3369884543636379
0.162,1.121118433498548,0.0,0.33656742474496937
0.163,1.126519406743515,0.0,0.33613856936178843
0.164,1.1319172486203937,0.0,0.33570189182798815
0.165,1.1373119650325203,0.0,0.33525739575363184
0.166,1.1427035618661845,0.0,0.3348050847449981
0.167,1.1480920449906749,0.0,0.3343449624046258
0.168,1.153477420258325,0.0,0.33387703233135874
0.169,1.158859693504559,0.0,0.33340129812039027
0.17,1.1642388705479374,0.0,0.3329177633633078
0.171,1.169614957190202,0.0,0.33242643164813723
0.17200000000000001,1.1749879592163217,0.0,0.3319273065593872
0.17300000000000001,1.1803578823945378,0.0,0.33142039167809306
0.17400000000000002,1.1857247324764086,0.0,0.33090569058186103
0.17500000000000002,1.191088515196855,0.0,0.330383206844912
0.17600000000000002,1.1964492362742052,0.0,0.3298529440381253
0.17700000000000002,1.2018069014102393,0.0,0.32931490572908223
0.17800000000000002,1.2071615162902345,0.0,0.3287690954821095
0.17900000000000002,1.2125130865830092,0.0,0.32821551685832273
0.18000000000000002,1.217861617940968,0.0,0.32765417341566966
0.18100000000000002,1.2232071160001459,0.0,0.32708506870897314
0.18200000000000002,1.228549586380252,0.0,0.32650820628997407
0.18300000000000002,1.233889034684715,0.0,0.3259235897073744
0.18400000000000002,1.2392254665007258,0.0,0.3253312225068797
0.185,1.2445588873992832,0.0,0.3247311082312417
0.186,1.2498893029352363,0.0,0.32412325042030093
0.187,1.2552167186473286,0.0,0.32350765261102893
0.188,1.2605411400582427,0.0,0.32288431833757036
0.189,1.2658625726746426,0.0,0.32225325113128517
0.19,1.2711810219872182,0.0,0.32161445452079046
0.191,1.276496493470728,0.0,0.32096793203200236
0.192,1.2818089925840428,0.0,0.32031368718817765
0.193,1.287118524770189,0.0,0.3196517235099553
0.194,1.2924250954563918,0.0,0.31898204451539786
0.195,1.2977287100541177,0.0,0.3183046537200328
0.196,1.3030293739591179,0.0,0.3176195546368936
0.197,1.308327092551471,0.0,0.3169267507765609
0.198,1.3136218711956256,0.0,0.31622624564720314
0.199,1.3189137152404433,0.0,0.31551804275461753
0.2,1.3242026300192413,0.0,0.3148021456022706
0.201,1.3294886208498347,0.0,0.3140785576913387
0.202,1.3347716930345785,0.0,0.3133472825207484
0.203,1.3400518518604105,0.0,0.31260832358721663
0.20400000000000001,1.3453291025988936,0.0,0.3118616843852909
0.20500000000000002,1.3506034505062572,0.0,0.3111073684073891
0.20600000000000002,1.3558749008234399,0.0,0.3103453791438396
0.20700000000000002,1.3611434587761309,0.0,0.30957572008292067
0.20800000000000002,1.3664091295748126,0.0,0.3087983947109002
0.20900000000000002,1.3716719184148018,0.0,0.3080134065120752
0.21000000000000002,1.3769318304762914,0.0,0.30722075896881096
0.21100000000000002,1.3821888709243921,0.0,0.30642045556158026
0.21200000000000002,1.3874430449091741,0.0,0.3056124997690025
0.21300000000000002,1.3926943575657083,0.0,0.30479689506788255
0.21400000000000002,1.3979428140141077,0.0,0.3039736449332495
0.21500000000000002,1.4031884193595685,0.0,0.30314275283839537
0.21600000000000003,1.4084311786924117,0.0,0.3023042222549135
0.21700000000000003,1.4136710970881239,0.0,0.30145805665273706
0.21800000000000003,1.4189081796073981,0.0,0.3006042595001773
0.219,1.424142431296175,0.0,0.29974283426396137
0.22,1.4293738571856838,0.0,0.29887378440927076
0.221,1.4346024622924824,0.0,0.2979971133997788
0.222,1.4398282516184993,0.0,0.2971128246976884
0.223,1.4450512301510727,0.0,0.29622092176376974
0.224,1.4502714028629922,0.0,0.2953214080573976
0.225,1.4554887747125385,0.0,0.29441428703658873
0.226,1.4607033506435243,0.0,0.293499562158039
0.227,1.4659151355853342,0.0,0.2925772368771604
0.228,1.4711241344529646,0.0,0.29164731464811794
0.229,1.476330352147065,0.0,0.2907097989238664
0.23,1.4815337935539767,0.0,0.289764693156187
0.231,1.4867344635457738,0.0,0.2888120007957239
0.232,1.491932366980302,0.0,0.2878517252920204
0.233,1.4971275087012192,0.0,0.2868838700935554
0.234,1.5023198935380355,0.0,0.2859084386477793
0.23500000000000001,1.5075095263061518,0.0,0.28492543440115
0.23600000000000002,1.5126964118069002,0.0,0.2839348607991686
0.23700000000000002,1.5178805548275833,0.0,0.2829367212864152
0.23800000000000002,1.5230619601415136,0.0,0.2819310193065846
0.23900000000000002,1.5282406325080529,0.0,0.2809177583025212
0.24000000000000002,1.533416576672651,0.0,0.2798969417162547
0.24100000000000002,1.5385897973668863,0.0,0.27886857298903506
0.24200000000000002,1.5437602993085031,0.0,0.2778326555613675
0.24300000000000002,1.5489280872014521,0.0,0.2767891928730473
0.24400000000000002,1.554093165735929,0.0,0.2757381883631947
0.24500000000000002,1.5592555395884125,0.0,0.27467964547028906
0.24600000000000002,1.5644152134217044,0.0,0.2736135676322038
0.24700000000000003,1.569572191884968,0.0,0.2725399582862403
0.24800000000000003,1.5747264796137663,0.0,0.27145882086916223
0.24900000000000003,1.5798780812301008,0.0,0.27037015881722964
0.25,1.5850270013424501,0.0,0.2692739755662326
0.251,1.590173244545809,0.0,0.26817027455152515
0.252,1.5953168154217257,0.0,0.26705905920805884
0.253,1.6004577185383406,0.0,0.26594033297041614
0.254,1.6055959584504254,0.0,0.26481409927284383
0.255,1.6107315396994197,0.0,0.26368036154928615
0.256,1.6158644668134707,0.0,0.2625391232334178
0.257,1.62099474430747,0.0,0.26139038775867707
0.258,1.626122376683092,0.0,0.26023415855829823
0.259,1.6312473684288318,0.0,0.2590704390653445
0.26,1.6363697240200434,0.0,0.2578992327127403
0.261,1.6414894479189772,0.0,0.2567205429333037
0.262,1.646606544574817,0.0,0.25553437315977867
0.263,1.6517210184237188,0.0,0.254340726824867
0.264,1.6568328738888471,0.0,0.25313960736126045
0.265,1.661942115380414,0.0,0.25193101820167224
0.266,1.6670487472957147,0.0,0.25071496277886884
0.267,1.6721527740191664,0.0,0.24949144452570163
0.268,1.6772541999223447,0.0,0.24826046687513798
0.269,1.682353029364021,0.0,0.24702203326029265
0.27,1.6874492666902,0.0,0.2457761471144588
0.271,1.6925429162341559,0.0,0.24452281187113895
0.272,1.6976339823164706,0.0,0.24326203096407575
0.273,1.7027224692450698,0.0,0.2419938078272827
0.274,1.7078083813152598,0.0,0.24071814589507456
0.275,1.712891722809765,0.0,0.23943504860209786
0.276,1.717972497998764,0.0,0.23814451938336095
0.277,1.7230507111399262,0.0,0.23684656167426427
0.278,1.7281263664784492,0.0,0.23554117891063017
0.279,1.7331994682470944,0.0,0.23422837452873277
0.28,1.7382700206662238,0.0,0.2329081519653276
0.281,1.7433380279438369,0.0,0.23158051465768112
0.28200000000000003,1.748403494275606,0.0,0.23024546604360013
0.28300000000000003,1.7534664238449136,0.0,0.22890300956146098
0.28400000000000003,1.758526820822888,0.0,0.2275531486502386
0.28500000000000003,1.763584689368439,0.0,0.22619588674953559
0.28600000000000003,1.7686400336282952,0.0,0.2248312272996109
0.28700000000000003,1.773692857737039,0.0,0.2234591737414085
0.28800000000000003,1.7787431658171426,0.0,0.22207972951658606
0.28900000000000003,1.7837909619790044,0.0,0.22069289806754308
0.29000000000000004,1.7888362503209845,0.0,0.21929868283744935
0.29100000000000004,1.7938790349294402,0.0,0.21789708727027288
0.29200000000000004,1.7989193198787623,0.0,0.21648811481080793
0.29300000000000004,1.80395710923141,0.0,0.21507176890470284
