t,x,y,z
0.001,0.20600000000000002,0.0003000000000000001,0.30089019
0.002,0.2119963899205943,0.0006004932755097154,0.30176663012688293
0.003,0.2179891681607382,0.0009014803158792778,0.30262933231188616
0.004,0.22397833310357657,0.0012029616086225133,0.30347830845933416
0.005,0.22996388311648447,0.0015049376394151832,0.3043135704468204
0.006,0.23594581655110802,0.0018074088920932115,0.3051351301253885
0.007,0.2419241317434052,0.0021103758486508972,0.305942999319713
0.008,0.2478988270136868,0.002413838989239108,0.30673718982827963
0.009000000000000001,0.2538699006666573,0.0027177987921634603,0.30751771342356465
0.01,0.2598373509914562,0.0030222557338824905,0.30828458185221413
0.011000000000000001,0.26580117626169886,0.0033272102890058,0.30903780683522236
0.012,0.2717613747355179,0.0036326629302921927,0.30977740006810994
0.013000000000000001,0.2777179446556047,0.003938614128647805,0.310503373221101
0.014,0.2836708842492502,0.004245064353124203,0.31121573793930013
0.015000000000000001,0.2896201917283871,0.004552014070916486,0.3119145058428689
0.016,0.2955658652896309,0.004859463747361368,0.31259968852720144
0.017,0.30150790311432185,0.005167413845935238,0.31327129756309974
0.018000000000000002,0.3074463033685665,0.005475864828252222,0.3139293444969484
0.019,0.31338106420327955,0.0057848171540622224,0.31457384085088885
0.02,0.31931218375422593,0.006094271281248949,0.3152047981229929
0.021,0.32523966014206257,0.00640422766582793,0.31582222778743596
0.022000000000000002,0.33116349147238067,0.006714686761944526,0.3164261412946695
0.023000000000000003,0.3370836758357478,0.007025649021871911,0.31701655007159324
0.024,0.34300021130775016,0.007337114896009062,0.3175934655217265
0.025,0.3489130959490352,0.007649084832878724,0.31815689902537947
0.026000000000000002,0.3548223278053538,0.007961559279125367,0.3187068619398234
0.027000000000000003,0.36072790490760287,0.008274538679513136,0.3192433655994606
0.028,0.3666298252718683,0.008588023476923778,0.319766421315994
0.029,0.3725280868994676,0.008902014112354579,0.3202760403785959
0.030000000000000002,0.3784226877769925,0.00921651102491626,0.3207722340540765
