t,x,y,z
0.001,0.20450000000000002,0.0,0.30089019
0.002,0.20899797910283552,0.0,0.3017686738749595
0.003,0.21349393672868683,0.0,0.3026354586858044
0.004,0.21798787228448505,0.0,0.3034905514762668
0.005,0.2224797851639278,0.0,0.30433395927301565
0.006,0.22696967474749521,0.0,0.3051656890857874
0.007,0.23145754040246586,0.0,0.30598574790751637
0.008,0.23594338148293298,0.0,0.306794142714465
0.009000000000000001,0.24042719732982085,0.0,0.30759088046635397
0.01,0.24490898727090107,0.0,0.308375968106492
0.011000000000000001,0.2493887506208093,0.0,0.30914941256190565
0.012,0.2538664866810619,0.0,0.3099112207434687
0.013000000000000001,0.25834219474007275,0.0,0.3106613995460317
0.014,0.26281587407317036,0.0,0.31139995584855085
0.015000000000000001,0.26728752394261496,0.0,0.31212689651421716
0.016,0.27175714359761577,0.0,0.3128422283905852
0.017,0.27622473227434846,0.0,0.3135459583097016
0.018000000000000002,0.2806902891959728,0.0,0.31423809308823375
0.019,0.2851538135726502,0.0,0.31491863952759763
0.02,0.2896153046015618,0.0,0.31558760441408623
0.021,0.2940747614669266,0.0,0.3162449945189971
0.022000000000000002,0.2985321833400193,0.0,0.3168908165987604
0.023000000000000003,0.3029875693791889,0.0,0.3175250773950659
0.024,0.30744091872987733,0.0,0.31814778363499074
0.025,0.3118922305246378,0.0,0.3187589420311263
0.026000000000000002,0.31634150388315396,0.0,0.31935855928170515
0.027000000000000003,0.32078873791225854,0.0,0.31994664207072776
0.028,0.32523393170595294,0.0,0.3205231970680891
0.029,0.3296770843454262,0.0,0.32108823092970507
0.030000000000000002,0.3341181948990746,0.0,0.3216417502976384
0.031000000000000003,0.3385572624225215,0.0,0.32218376180022484
0.032,0.34299428595863685,0.0,0.3227142720521988
0.033,0.3474292645375574,0.0,0.32323328765481907
0.034,0.3518621971767069,0.0,0.3237408151959939
0.035,0.3562930828808163,0.0,0.3242368612504065
0.036000000000000004,0.36072192064194436,0.0,0.3247214323796399
0.037000000000000005,0.3651487094394984,0.0,0.3251945351323016
0.038,0.369573448240255,0.0,0.32565617604414837
0.039,0.3739961359983812,0.0,0.3261063616382104
0.04,0.3784167716554558,0.0,0.3265450984249155
0.041,0.38283535414049047,0.0,0.3269723929022134
0.042,0.3872518823699518,0.0,0.32738825155569906
0.043000000000000003,0.39166635524778254,0.0,0.3277926808587364
0.044000000000000004,0.3960787716654241,0.0,0.32818568727258174
0.045000000000000005,0.4004891305018384,0.0,0.32856727724650675
0.046000000000000006,0.4048974306235301,0.0,0.3289374572179216
0.047,0.40930367088456954,0.0,0.3292962336124975
0.048,0.413707850126615,0.0,0.3296436128442892
0.049,0.41810996717893584,0.0,0.32997960131585746
0.05,0.42251002085843564,0.0,0.33030420541839084
0.051000000000000004,0.4269080099696753,0.0,0.3306174315318278
0.052000000000000005,0.4313039333048968,0.0,0.3309192860249783
0.053000000000000005,0.43569778964404654,0.0,0.33120977525564493
0.054000000000000006,0.4400895777547995,0.0,0.33148890557074456
0.055,0.4444792963925831,0.0,0.331756683306429
0.056,0.4488669443006016,0.0,0.3320131147882058
0.057,0.45325252020986045,0.0,0.33225820633105874
0.058,0.4576360228391911,0.0,0.33249196423956834
0.059000000000000004,0.4620174508952757,0.0,0.3327143948080316
0.060000000000000005,0.4663968030726723,0.0,0.3329255043205821
0.061000000000000006,0.47077407805384003,0.0,0.33312529905130944
0.062000000000000006,0.4751492745091646,0.0,0.3333137852643787
0.063,0.4795223910969839,0.0,0.3334909692141495
0.064,0.483893426463614,0.0,0.33365685714529497
0.065,0.48826237924337507,0.0,0.33381145529292033
0.066,0.49262924805861785,0.0,0.33395476988268136
0.067,0.4969940315197499,0.0,0.3340868071309025
0.068,0.5013567282252626,0.0,0.33420757324469497
0.069,0.5057173367617577,0.0,0.3343170744220742
0.07,0.5100758557039747,0.0,0.3344153168520774
0.07100000000000001,0.5144322836148182,0.0,0.3345023067148809
0.07200000000000001,0.5187866190453849,0.0,0.33457805018191666
0.07300000000000001,0.5231388605349923,0.0,0.3346425534159895
0.07400000000000001,0.5274890066112056,0.0,0.33469582257139296
0.07500000000000001,0.5318370557898667,0.0,0.33473786379402604
0.076,0.5361830065751221,0.0,0.3347686832215087
0.077,0.5405268574594514,0.0,0.33478828698329777
0.078,0.5448686069236967,0.0,0.3347966812008021
0.079,0.5492082534370907,0.0,0.3347938719874979
0.08,0.5535457954572869,0.0,0.3347798654490436
0.081,0.5578812314303881,0.0,0.33475466768339435
0.082,0.5622145597909769,0.0,0.33471828478091636
0.083,0.5665457789621449,0.0,0.33467072282450105
0.084,0.5708748873555229,0.0,0.3346119878896787
0.085,0.5752018833713117,0.0,0.33454208604473223
0.08600000000000001,0.5795267653983119,0.0,0.33446102335081
0.08700000000000001,0.583849531813955,0.0,0.3343688058620392
0.08800000000000001,0.5881701809843344,0.0,0.3342654396256383
0.08900000000000001,0.5924887112642361,0.0,0.3341509306820295
0.09000000000000001,0.5968051209971705,0.0,0.3340252850649507
0.09100000000000001,0.6011194085154041,0.0,0.3338885088015677
0.09200000000000001,0.6054315721399908,0.0,0.3337406079125852
0.093,0.6097416101808041,0.0,0.3335815884123586
0.094,0.6140495209365695,0.0,0.3334114563090045
0.095,0.6183553026948968,0.0,0.3332302176045116
0.096,0.6226589537323127,0.0,0.33303787829485104
0.097,0.626960472314294,0.0,0.3328344443700863
0.098,0.6312598566952999,0.0,0.33261992181448324
0.099,0.6355571051188066,0.0,0.3323943166066193
0.1,0.6398522158173393,0.0,0.3321576347194927
0.101,0.6441451870125073,0.0,0.3319098821206315
